id,timestamp,moisture,moisture_percent,ax,ay,az,gx,gy,gz,pitch,roll,status
75,2026-05-23 16:09:14.627652,4095,0,-412,10932,13712,1,200,155,-1.35,38.55,1
76,2026-05-23 16:09:19.691269,1255,69,-368,10784,13568,-137,164,172,-1.22,38.47,0
77,2026-05-23 16:09:24.63633,1183,71,-516,10848,13820,-75,206,144,-1.68,38.11,1
78,2026-05-23 16:09:29.836473,1890,53,-460,10896,13848,-55,196,163,-1.5,38.18,0
79,2026-05-23 16:09:35.005093,1728,57,-552,10912,13944,-44,174,166,-1.79,38.02,0
80,2026-05-23 16:09:51.983237,1407,65,-12236,12144,-2584,771,5059,-6399,-44.58,44.16,1
81,2026-05-23 16:09:58.120547,1424,65,-680,15788,-3580,842,-754,-903,-2.41,77.0,0
82,2026-05-23 16:10:02.626582,1471,64,-744,12432,-10540,4713,-2740,1859,-2.61,49.64,0
83,2026-05-23 16:10:03.62279,1515,63,4576,16088,4260,-545,2770,-838,15.37,68.76,0
84,2026-05-23 16:10:04.719144,1534,62,9792,10788,8444,-5371,11966,-22997,35.56,39.84,1
85,2026-05-23 16:10:05.65534,2547,37,-14944,4976,7012,4911,5200,-30495,-60.09,16.78,2
86,2026-05-23 16:10:09.946193,1765,56,-6592,12580,8992,-2446,1450,-12094,-23.09,48.45,1
87,2026-05-23 16:10:18.030988,2165,47,-8808,8372,12944,11617,22987,-11842,-29.74,28.13,1
88,2026-05-23 16:10:20.958568,1775,56,-5184,-14560,15944,-32768,1564,28409,-13.5,-40.97,0
89,2026-05-23 16:10:26.314284,1387,66,-15080,4012,5480,-8117,-2662,8391,-65.75,14.04,1
90,2026-05-23 16:10:30.4341,3614,11,-14164,-3728,5664,21193,-4487,32767,-64.42,-13.73,2
91,2026-05-23 16:10:34.99863,3408,16,240,-844,17724,-4331,-5891,4294,0.77,-2.73,1
92,2026-05-23 16:10:39.845786,1927,52,-320,-816,17760,-10,193,132,-1.03,-2.63,0
93,2026-05-23 16:10:44.908086,1812,55,1436,2896,17092,-449,-705,575,4.74,9.58,0
94,2026-05-23 16:10:49.836058,1663,59,1872,2340,17224,-417,184,491,6.15,7.69,0
95,2026-05-23 16:10:56.40027,2422,40,2548,2556,17560,-353,-220,235,8.17,8.2,0
96,2026-05-23 16:10:59.816363,1855,54,-12092,-7364,8832,-633,573,-2940,-46.44,-26.19,1
97,2026-05-23 16:11:05.375088,1795,56,6424,7108,14272,-6798,4638,18268,21.94,24.43,1
98,2026-05-23 16:11:15.92256,1759,57,8144,7244,13220,1987,-1828,-2510,28.38,25.01,1
99,2026-05-23 16:11:18.182059,1849,54,1172,-340,17448,-2201,-3132,8126,3.84,-1.11,0
100,2026-05-23 16:11:20.18618,1776,56,-13532,-7172,2676,1322,-2386,267,-60.5,-27.47,1
101,2026-05-23 16:11:25.125091,3189,22,-14980,-5476,2368,-75,83,165,-68.28,-19.85,2
102,2026-05-23 16:11:33.961947,2080,49,1444,3808,17588,-790,-22510,12815,4.59,12.18,0
103,2026-05-23 16:11:35.485997,3504,14,-8992,1416,14704,-16237,-6556,11870,-31.33,4.7,2
104,2026-05-23 16:11:40.386005,2927,28,-4208,-772,17208,-127,202,95,-13.73,-2.5,1
105,2026-05-23 16:12:03.874412,1957,52,-500,-2428,17696,1021,585,-1819,-1.6,-7.81,0
106,2026-05-23 16:12:34.459139,3762,8,96,-2688,17600,-66,272,129,0.31,-8.68,1
107,2026-05-23 16:12:48.287163,3015,26,80,-2916,17468,-85,456,189,0.26,-9.48,1
108,2026-05-23 16:12:48.685301,2683,34,2868,-3584,17700,-843,-1444,-1606,9.02,-11.3,1
109,2026-05-23 16:12:49.130705,2549,37,548,-4432,17180,429,-1087,2169,1.77,-14.46,1
110,2026-05-23 16:12:49.526209,3361,17,1440,-4336,17136,-22,143,109,4.66,-14.15,1
111,2026-05-23 16:12:49.89527,2992,26,-824,-3332,17412,980,1723,-224,-2.66,-10.82,1
112,2026-05-23 16:12:50.25786,2427,40,-1244,-2596,17608,138,-207,145,-4.0,-8.37,0
113,2026-05-23 16:12:50.726749,2399,41,-2200,1140,17500,29,230,-12,-7.15,3.7,0
114,2026-05-23 16:12:51.346719,2409,41,-1824,1056,17600,-160,401,214,-5.91,3.42,0
115,2026-05-23 16:12:51.897132,2382,41,-3428,-280,17020,-297,-108,-270,-11.39,-0.92,0
